30,72907,104291,61407,86579,72610,104048,60892,86322,82681,114900,100455,95509,92001,129814,148893,106822,96791,140690,171424,115611,99431,148432,183807,122236,101697,153932,191081,127260,102275,158049,195730,131135,102361,161120,199011,134080,103111,163534,201378,136408,103502,165346,203277,138252,103916,166909,204683,139815,104463,168159,205839,141096,104408,169237,206855,142158,104884,170151,207659,143065,105431,170956,208558,143807,105158,171596,209097,144518,105752,172096,209464,144994,105798,172589,209933,145533,105713,173018,210269,145987,105431,173354,210566,146315,105978,173729,210972,146705,106080,174159,211331,147104,106072,174260,211417,147205,106173,174635,211831,147557,106213,174870,212167,147830,106220,175034,212253,148002,106166,175104,212245,148034,106611,175253,212409,148198,106463,175425,212691,148424
30,72993,104306,61368,86540,72759,104056,60876,86369,83103,115549,103228,95955,92150,130252,149916,107134,96595,140987,172034,115885,99447,148612,184128,122463,101330,154120,191308,127424,102072,158112,195831,131205,102267,161151,199120,134150,103150,163588,201503,136518,103713,165463,203214,138377,103767,166971,204722,139869,104595,168260,205894,141166,104306,169284,206917,142221,104697,170143,207659,143049,105095,170909,208331,143783,104900,171604,208980,144510,105798,172143,209714,145065,105603,172635,209995,145580,105298,173010,210277,145963,105759,173425,210659,146377,105892,173612,210769,146596,105603,174159,211378,147065,106150,174323,211488,147244,106494,174596,211855,147573,106400,174917,212113,147838,106298,175050,212277,147987,106213,175089,212222,148041,106291,175339,212542,148291,106189,175464,212659,148432
30,72775,104298,61376,86564,72931,104197,60899,86462,83681,116228,105939,96486,92525,130674,150869,107463,96876,141299,172464,116056,99572,148815,184386,122635,101447,154260,191433,127518,102611,158268,195987,131354,102322,161276,199128,134252,103291,163667,201636,136565,103869,165510,203378,138432,104392,167003,204722,139877,104009,168260,205839,141174,104384,169268,206909,142237,104947,170190,207698,143096,105142,170940,208441,143869,105392,171596,208988,144533,105634,172128,209605,145057,105541,172628,210089,145612,105220,173065,210394,146033,105939,173409,210652,146323,106025,173643,210816,146658,106072,173932,211089,146885,106439,174276,211542,147268,106541,174612,211886,147596,106611,174925,212097,147838,106439,175065,212230,147963,106634,175065,212159,148049,106580,175292,212409,148221,106572,175440,212589,148385
30,72314,104267,61345,86548,73337,104244,60962,86501,84697,116830,108463,96970,92790,131057,151776,107767,97173,141580,173057,116330,99361,149026,184628,122822,101502,154409,191667,127705,102361,158377,196112,131424,102298,161346,199237,134346,103205,163713,201605,136619,103509,165534,203355,138424,104267,167003,204737,139971,104158,168260,205902,141182,104603,169370,206964,142307,104775,170214,207738,143151,105275,170924,208378,143862,105470,171635,209011,144533,105814,172167,209574,145088,105470,172628,210034,145565,105033,173065,210386,146057,105869,173440,210722,146424,106134,173643,210917,146627,106127,173932,211105,146948,106002,174315,211495,147260,106283,174690,211878,147666,106549,174925,212089,147823,106048,174995,212120,147909,106353,175096,212222,148057,106533,175346,212574,148276,106525,175432,212589,148424
30,72798,104236,61345,86548,72571,104111,61017,86408,85087,117471,110869,97416,92697,131447,152776,108072,96884,141869,173526,116572,99642,149244,184972,123010,101447,154526,191714,127799,102431,158479,196245,131572,102595,161479,199362,134408,103056,163784,201636,136713,103681,165604,203448,138580,104400,167073,204784,139987,104259,168346,206027,141205,104259,169346,206917,142244,104681,170260,207753,143182,105353,170964,208456,143908,105634,171643,209167,144580,105736,172135,209449,145080,105220,172643,210034,145627,105353,173050,210316,146057,105908,173448,210691,146377,105892,173682,210816,146674,105892,173948,211105,146908,106142,174245,211347,147190,106369,174690,211839,147674,106377,174925,212097,147830,106244,175065,212269,148026,106775,175253,212417,148166,106838,175346,212628,148268,106502,175479,212597,148424
30,72282,104259,61345,86548,72587,104072,60993,86376,85634,118041,113064,97837,92939,131854,153580,108424,96892,142127,173987,116806,99619,149455,185237,123174,101447,154745,192011,128018,102525,158596,196323,131619,102845,161557,199425,134502,103447,163838,201636,136760,103634,165698,203652,138604,104134,167135,204863,140033,104259,168393,206152,141291,104502,169393,206972,142291,104517,170315,207816,143252,105017,171018,208472,143955,105478,171682,209050,144588,105494,172143,209495,145119,105158,172682,210144,145643,105275,173128,210441,146065,105588,173440,210699,146448,105775,173667,210839,146666,106259,173948,211120,146916,106056,174245,211378,147229,106400,174737,211933,147698,106509,174917,212113,147862,106291,175034,212199,147994,106384,175229,212394,148143,106752,175370,212667,148330,106603,175503,212691,148463
30,72767,104252,61337,86579,72540,104095,60993,86392,85665,118603,115299,98267,93158,132236,154526,108720,96986,142447,174518,117064,99736,149627,185573,123322,101548,154877,192167,128111,102080,158706,196511,131744,102541,161635,199612,134611,103095,163885,201722,136830,103642,165753,203675,138674,104400,167198,205003,140143,104056,168432,206128,141330,104330,169401,206925,142346,104986,170323,207792,143252,105041,171042,208558,143955,105588,171659,209027,144604,105759,172190,209691,145127,105142,172667,210081,145666,105486,173128,210347,146104,105720,173409,210628,146401,106080,173792,211019,146776,106166,174073,211331,147057,105963,174229,211324,147190,106150,174737,211894,147666,106236,174917,212113,147838,106689,175081,212300,148041,106259,175253,212386,148166,106478,175370,212558,148330,106377,175456,212574,148432
30,72517,104267,61329,86595,72423,104080,60962,86376,86017,119127,117267,98658,93384,132658,155409,109033,97095,142752,175042,117306,99556,149862,185776,123549,101306,154987,192339,128268,102400,158815,196565,131877,102486,161729,199706,134729,103509,163995,202027,136932,103884,165776,203558,138705,104517,167221,204909,140143,104259,168464,206191,141369,104259,169440,207003,142377,104791,170315,207823,143229,104963,171034,208558,143979,105611,171721,209136,144635,105744,172229,209566,145135,105056,172682,210011,145627,105416,173104,210527,146104,105603,173464,210691,146455,105884,173831,211034,146776,106142,174010,211199,146932,106048,174245,211331,147190,106275,174745,211925,147698,105869,174940,212136,147885,106697,175065,212238,148034,106088,175214,212363,148182,106259,175432,212605,148323,106377,175417,212597,148432
30,72353,104213,61290,86509,72501,104056,60962,86369,86306,119666,119252,99064,93705,133025,156245,109353,97072,143018,175495,117517,99650,150057,186097,123721,101689,155104,192433,128346,102298,158893,196792,131955,102548,161768,199667,134752,103627,163995,201917,136947,103673,165807,203605,138760,104048,167253,205019,140166,104088,168503,206097,141416,104463,169456,206995,142377,105025,170331,207917,143276,104830,171128,208683,144096,105588,171729,209097,144674,105455,172292,209605,145190,105314,172737,210167,145674,105197,173151,210409,146135,105470,173448,210706,146408,105963,173846,211027,146721,106088,174034,211230,146994,106127,174346,211511,147307,106369,174643,211847,147612,106142,174956,212144,147862,106674,175089,212269,148018,106095,175245,212402,148182,106595,175245,212355,148182,106213,175487,212792,148448
30,72634,104252,61298,86548,72759,104056,60938,86369,86447,120150,121080,99416,93837,133440,157112,109674,97314,143291,176003,117814,99627,150268,186425,123924,101384,155260,192690,128502,102252,159002,196823,132057,102556,161815,199730,134783,103275,164143,201956,137057,104252,165893,203737,138799,104119,167268,205113,140229,103908,168503,206198,141432,104619,169510,207097,142424,105150,170370,207855,143260,104900,171049,208472,143963,105666,171745,209144,144705,105252,172198,209542,145112,105447,172682,210034,145682,105228,173159,210597,146158,105713,173495,210839,146455,106041,173839,211183,146838,106150,174042,211277,147010,106150,174417,211534,147330,106455,174776,212074,147690,106252,174925,212105,147869,106416,175057,212199,147963,106181,175276,212480,148237,106486,175245,212409,148237,106572,175510,212691,148424
30,72696,104252,61306,86540,72665,104041,60923,86369,86853,120635,122869,99822,93759,133752,157799,109939,97533,143580,176409,117994,100103,150448,186604,124080,101611,155424,192862,128627,102603,159096,196948,132135,102353,161963,199878,134924,103283,164135,201972,137096,104033,165948,203808,138838,104220,167370,205167,140291,104041,168589,206191,141471,104361,169510,207081,142393,105627,170424,207956,143354,105205,171120,208550,144073,105798,171760,209128,144658,105580,172260,209659,145198,105353,172753,210027,145721,105158,173135,210409,146143,105775,173526,210808,146494,105923,173831,211128,146799,106033,174089,211253,147010,105775,174354,211550,147377,106345,174753,211964,147682,106002,174925,212136,147862,106486,175128,212347,148018,106478,175260,212417,148205,106502,175276,212316,148213,106463,175526,212667,148479
