LQ,102.63450,48.27080,135.72430,256.59480,48.89040,114.23650,103.45990,48.08240,135.21530,259.81820,48.61890,114.18210,27.01540,44.66850,136.82630,221.22400,48.20790,115.00280,3.58520,20.89590,94.06540,21.94330,24.23430,96.40280,2.35540,17.55950,45.09960,11.40520,16.01610,52.04990,1.82780,15.92100,30.02930,8.12370,12.63910,31.30620,1.48810,14.82740,22.90390,6.53080,10.69780,20.73720,1.34340,14.03950,19.34340,5.67860,9.55830,15.63800,1.14220,13.48630,17.20890,5.05920,8.88900,12.90630,1.04370,13.03450,15.86360,4.70110,8.35560,11.38230,1.02340,12.66270,14.97680,4.51430,7.92940,10.58170,0.95370,12.43530,14.37720,4.35650,7.60100,9.98570,0.88900,12.13610,13.99320,4.10630,7.31760,9.58280,0.90740,12.03230,13.63960,4.06830,7.16010,9.26150,0.86140,11.89390,13.38810,4.01070,7.01120,9.09330,0.85980,11.73460,13.20910,3.97300,6.89740,8.95780,0.79260,11.64620,12.93490,3.89220,6.73840,8.76230,0.82310,11.84600,12.90630,3.87250,6.77800,8.66000,0.93050,13.72620,15.50550,4.09830,7.94870,9.77710,1.01880,14.98260,18.06110,4.40950,8.87340,11.53000,1.26220,16.19540,20.71580,4.82720,9.85820,13.45800,1.57900,17.42410,23.53950,5.44690,10.85510,15.49310,1.87960,18.65270,26.51330,6.04510,11.86190,17.64190,2.27220,20.01090,29.73720,6.80070,12.89020,20.07800,2.66190,21.44020,33.19590,7.58020,14.09480,22.59270,3.27420,22.92710,36.87430,8.55280,15.34930,25.42040,3.67380,24.22790,40.56880,9.43730,16.59390,28.19870,4.27930,25.73040,44.34240,10.47930,17.87960,31.11530,4.92670,26.97100,48.51280,11.59270,19.14060,34.25210,5.67630,28.39950,52.45410,12.84930,20.42980,37.42840,6.33400,29.53790,56.31880,14.10380,21.64190,40.61480,7.23530,30.90450,60.88770,15.53440,23.02340,44.11090,8.06790,32.00900,64.70230,16.96700,24.16410,47.26670
LQ,96.73260,52.66870,146.72840,249.06520,50.39910,124.72980,97.52330,52.81220,145.98030,249.28080,50.60090,124.35190,36.69190,49.85020,146.64490,218.31010,50.36560,124.47770,4.38500,23.12010,114.34550,26.91690,26.03410,109.15380,3.07350,18.59980,53.49260,14.12290,17.43310,59.53990,2.41640,16.44870,33.33920,9.91990,13.74420,35.18600,2.03950,15.22620,24.27490,7.93330,11.76000,23.03430,1.82450,14.25060,19.78920,6.85430,10.44040,16.93580,1.63620,13.58970,17.13690,6.12840,9.59100,13.69930,1.54970,13.11410,15.54680,5.69880,9.05320,11.94050,1.49460,12.57870,14.54880,5.33690,8.49570,10.90550,1.41070,12.29970,13.74800,5.13460,8.18980,10.13340,1.36900,11.93880,13.24550,4.90550,7.87410,9.65030,1.33540,11.78540,12.78170,4.82500,7.71900,9.28730,1.27490,11.61780,12.46530,4.70740,7.51440,9.03390,1.28440,11.50820,12.27820,4.67190,7.40980,8.85690,1.18310,11.41490,12.07610,4.55350,7.32680,8.67100,1.25420,11.67140,11.73570,4.62810,7.42140,8.41110,1.27650,13.61110,14.00460,4.78080,8.68830,9.36210,1.52370,14.82350,16.56590,5.19300,9.45520,11.11320,1.80290,16.22050,19.11900,5.73030,10.52760,13.07870,2.05300,17.55500,21.89800,6.30350,11.61150,15.09340,2.42170,18.94870,24.78920,6.98670,12.71330,17.30840,2.76220,20.32940,28.22090,7.68570,13.89670,19.75340,3.24990,21.85710,31.54900,8.60220,15.20240,22.35480,3.74170,23.33330,35.18600,9.53610,16.41890,25.11250,4.28940,24.87030,38.95820,10.60350,17.84740,28.05870,4.93310,26.37730,43.10120,11.71230,19.11090,31.23130,5.56220,27.98650,47.40770,12.88130,20.53590,34.43830,6.31990,29.52980,51.42810,14.24960,22.00000,37.92970,7.05590,30.86160,55.83610,15.54680,23.26610,41.25360,7.95170,32.40650,60.26780,17.02050,24.58240,44.82340,8.96060,33.72410,64.76840,18.76020,25.93010,48.76160
LQ,94.06540,49.27760,133.92140,273.75020,46.37470,113.85660,94.78080,49.01900,134.42200,278.70550,46.19700,114.23650,31.54060,44.51400,135.57860,280.30500,46.18220,114.83790,3.54500,22.98120,94.86090,39.25380,31.75920,101.77500,2.46200,19.30940,49.01210,16.94030,20.79310,63.85100,1.83120,17.48720,33.85590,11.44450,16.35540,39.96620,1.49290,16.24990,26.15700,8.87650,13.87840,27.20630,1.37060,15.46530,22.22830,7.64960,12.46520,20.45520,1.21780,14.86220,19.77900,6.87630,11.56130,16.63580,1.09520,14.35530,18.05170,6.29640,10.84910,14.38110,1.00010,13.87840,16.92690,5.92790,10.27610,12.92420,0.94600,13.50410,16.10910,5.71230,9.78610,12.05230,0.94440,13.26400,15.49730,5.51550,9.43090,11.45100,0.84300,12.96900,14.98080,5.15620,9.10320,10.88330,0.88130,12.89020,14.75360,5.07420,9.00090,10.67220,0.88590,12.74380,14.50570,4.97140,8.81150,10.40210,0.84140,12.66950,14.38110,4.90760,8.73440,10.24280,0.91820,12.96560,14.23800,4.94800,8.81150,9.97070,0.91510,15.00990,17.01600,5.00990,10.05990,10.97230,1.14220,16.33850,19.89700,5.43140,11.00510,12.97440,1.39460,17.52780,22.67440,5.84130,11.97740,15.03700,1.68710,18.89010,25.60580,6.45940,13.06900,17.33560,2.07510,20.20350,28.72890,7.18520,14.20970,19.71760,2.53940,21.68710,32.26480,8.01760,15.51350,22.34910,2.94330,23.05960,35.68910,8.84300,16.67130,24.98910,3.48770,24.43350,39.44140,9.83050,17.92580,27.97070,4.09630,25.98550,43.25070,10.91190,19.39450,31.12350,4.76820,27.24810,47.43600,12.12050,20.53060,34.33570,5.39840,28.47680,51.05060,13.46540,21.80030,37.42840,6.10750,29.78220,55.30670,14.64700,23.02940,40.85710,6.88120,31.03340,59.15180,15.97750,24.20880,43.89370,7.71680,32.24310,63.01620,17.35830,25.43090,47.40770,8.66820,33.44750,66.87150,19.31830,26.61140,50.73890
LQ,176.60220,45.68410,124.91940,441.31520,46.70320,107.85530,171.31070,45.19370,123.91360,426.68420,46.15270,106.67920,31.08220,40.79870,124.22640,314.29190,45.55350,106.58220,3.38520,17.45110,81.17700,18.06110,19.33440,85.84310,2.26700,14.54780,35.73790,9.48080,12.62900,43.48880,1.77630,13.15580,22.82120,6.78370,9.91950,25.89330,1.46220,12.24060,17.11900,5.46010,8.44800,16.87370,1.33540,11.63040,14.30750,4.83560,7.53310,12.48620,1.16890,11.17490,12.84930,4.39320,6.87300,10.29780,1.03120,10.72140,11.80250,4.02660,6.43300,9.05360,1.01260,10.51890,11.29430,3.87250,6.22510,8.41380,1.00940,10.22740,10.86750,3.78840,5.88700,8.00700,0.96300,10.10800,10.52580,3.71840,5.74670,7.64190,0.92900,9.90000,10.39600,3.61790,5.57810,7.50340,0.92280,9.78880,10.27940,3.60830,5.50860,7.40920,0.90440,9.69780,10.17890,3.60640,5.38450,7.32320,0.94910,9.64020,10.12440,3.67380,5.30630,7.29300,0.87820,9.89440,10.05490,3.58720,5.50270,7.10550,1.02030,11.39010,12.14780,3.83720,6.41370,8.00180,1.22890,12.37890,14.16120,4.26510,7.00220,9.41410,1.39780,13.42250,16.42250,4.64690,7.81420,11.07470,1.64770,14.48720,18.55660,5.16910,8.63480,12.66860,2.05130,15.67940,21.06640,5.87090,9.55830,14.56840,2.34670,16.85760,23.75950,6.47600,10.54510,16.50930,2.86510,18.02790,26.65870,7.36360,11.54880,18.80900,3.26110,19.22480,29.72150,8.07320,12.58540,21.05010,3.79030,20.44560,32.92030,8.99720,13.71180,23.47270,4.45460,21.80600,36.23090,10.13950,14.82740,26.08910,5.04850,23.08980,39.77540,11.20030,16.15350,28.84240,5.80720,24.13860,43.16340,12.41320,17.26290,31.56580,6.52120,25.39040,46.72230,13.63590,18.55660,34.40090,7.36360,26.64710,50.52230,14.96080,19.71290,37.41800,8.26000,27.79030,53.99730,16.48760,20.82010,40.31730
LQ,89.73000,48.50770,134.63760,220.18750,46.28570,114.29100,90.35580,48.42860,134.78160,220.35960,46.22650,114.34550,25.41380,44.33240,135.07050,207.16670,46.12320,114.40000,3.11230,20.95020,99.91630,20.90390,27.35850,102.54350,1.99040,17.43760,48.42540,10.22760,17.57770,58.74830,1.58390,15.81000,31.37300,7.24780,13.90760,35.02340,1.24470,14.68130,23.60040,5.75740,11.82360,23.01650,1.12330,13.91120,19.60570,5.02490,10.66540,16.91810,1.00940,13.39060,17.25860,4.49780,9.84710,13.85700,0.82160,12.84240,15.80490,4.08030,9.19300,11.99460,0.86600,12.47850,14.87680,3.94540,8.74720,11.04260,0.76520,12.14910,14.19960,3.72420,8.37300,10.26110,0.78950,11.89710,13.79300,3.62370,8.12850,9.86020,0.70310,11.70930,13.35140,3.52590,7.92450,9.47210,0.67440,11.51130,13.12210,3.48580,7.73560,9.23850,0.65630,11.40560,12.85640,3.43640,7.61750,9.06210,0.71970,11.35910,12.72510,3.45540,7.50040,8.96060,0.63670,11.56130,12.33000,3.38900,7.60100,8.55830,0.78350,13.40830,14.86890,3.59290,8.74720,9.58580,0.86440,14.47960,17.34920,3.83140,9.51480,11.30730,1.13120,15.81820,19.87650,4.36670,10.54800,13.22730,1.40910,16.98870,22.63940,4.84620,11.56130,15.28000,1.66900,18.38020,25.42040,5.46680,12.60890,17.47220,2.09720,19.57070,28.52600,6.16790,13.67570,19.79430,2.46550,20.91210,31.81940,6.88120,14.87380,22.27420,2.93420,22.42890,35.13810,7.70640,16.09920,24.89860,3.37010,23.60450,38.87110,8.55280,17.21390,27.73750,3.89810,24.90330,42.29110,9.48080,18.41820,30.55860,4.57000,26.20850,46.41890,10.60970,19.68230,33.80100,5.17350,27.47680,50.32240,11.67900,20.83090,36.98630,5.93940,28.81990,54.16710,13.03900,22.13810,40.15820,6.72550,30.06200,58.21640,14.33840,23.31500,43.35070,7.52640,31.35430,62.36420,15.77970,24.49810,46.76390
LQ,90.06050,54.13030,147.65170,234.97060,55.45970,125.68300,90.95130,54.18630,148.41480,236.33330,55.75100,125.10960,25.88650,48.90650,148.41480,224.74380,55.55660,125.93930,3.17350,20.08870,104.06280,21.58940,26.57580,107.65780,2.14330,16.13260,44.34240,10.51950,15.15900,54.88840,1.65100,14.28790,26.23200,7.41680,11.17190,29.91050,1.34660,13.11060,18.55660,5.89370,9.12950,18.05640,1.20360,12.36570,15.08540,5.09570,8.00430,12.96360,1.07170,11.78540,13.13290,4.63440,7.26950,10.42370,0.98000,11.32830,11.97430,4.34630,6.78020,9.09900,0.93820,10.89990,11.22290,4.13430,6.41160,8.35430,0.85220,10.68300,10.64410,3.95130,6.14960,7.76090,0.80940,10.42590,10.18200,3.83720,5.96910,7.36870,0.79560,10.16470,9.94680,3.72030,5.75280,7.16520,0.81090,10.07410,9.75640,3.68930,5.68820,7.02620,0.73790,9.90000,9.61210,3.61210,5.54030,6.88360,0.75000,9.74190,9.54490,3.62950,5.44140,6.82500,0.68040,10.02610,9.27290,3.50100,5.57610,6.54270,0.78190,11.78860,11.31380,3.72230,6.53830,7.31320,0.92130,12.96560,13.59130,4.00470,7.25570,8.85690,1.15320,14.09480,15.74630,4.45050,8.13580,10.47620,1.35460,15.29360,17.91100,4.95650,8.98000,12.09660,1.67070,16.61970,20.39180,5.60690,9.97550,14.01230,1.94330,17.90270,23.29150,6.17250,11.03230,16.03680,2.32240,19.26460,26.26610,6.87140,12.13280,18.25020,2.70660,20.71240,29.44060,7.70900,13.41890,20.63570,3.16790,22.17280,32.89380,8.49820,14.54400,23.26150,3.76110,23.64800,36.53070,9.51570,15.81410,25.96060,4.24290,25.13540,40.34000,10.49170,17.11200,28.88790,4.87370,26.38430,44.35530,11.56300,18.40870,32.00700,5.57120,27.99410,48.30930,12.74980,19.79980,35.03290,6.23080,29.31220,52.40540,13.93630,21.15240,38.33260,7.05090,30.88730,56.84390,15.30850,22.57590,41.73830
LQ,106.48530,48.25500,135.07050,347.44750,49.35880,114.61860,107.55930,48.16080,135.14290,351.49400,49.34250,114.61860,32.05830,45.25100,136.60470,349.05550,49.26130,116.05670,4.09030,22.83720,101.46130,238.70340,31.83030,100.92720,2.88690,19.23970,51.76160,108.90210,19.99020,61.27230,2.27050,17.47360,35.34950,64.85690,15.46130,38.53610,1.86280,16.45720,27.22060,41.41830,13.02070,26.51330,1.68220,15.52160,22.88020,29.47170,11.49880,19.80460,1.48000,14.83510,20.06240,22.85070,10.38830,16.08350,1.44770,14.44190,18.43160,12.96000,9.78330,14.11520,1.35620,13.93320,17.36280,7.81030,9.17710,12.85990,1.28280,13.59330,16.36200,6.92530,8.69350,11.91680,1.19570,13.26050,15.88890,6.25190,8.32570,11.40840,1.23200,13.13490,15.40680,5.90510,8.07230,11.02660,1.16730,12.88330,14.96880,5.52890,7.82860,10.68480,1.19250,12.77090,14.85290,5.37200,7.72850,10.57240,1.08730,12.47850,14.59190,5.05060,7.49110,10.34370,1.10140,12.82530,14.23420,5.05060,7.58220,10.05190,1.18780,14.75800,17.00260,5.21250,8.73440,11.26830,1.44930,15.92510,19.65140,5.63820,9.50670,13.12570,1.72670,17.09880,22.43580,6.14690,10.38830,15.18650,2.06320,18.38970,25.38740,6.74730,11.48330,17.40830,2.49360,19.67720,28.51850,7.53400,12.57200,19.85080,2.79460,20.84170,31.76850,8.20640,13.62190,22.26850,3.32120,22.20170,35.12850,9.15580,14.98260,24.87930,3.84310,23.51170,38.84940,10.07000,16.55540,27.83190,4.41980,24.86370,42.26690,11.18090,17.94430,30.67220,5.06990,26.09670,46.15910,12.35080,19.25460,33.69170,5.70780,27.38060,50.04730,13.53930,20.50930,36.81340,6.54270,28.70240,53.99730,14.98080,21.90270,40.11290,7.32580,29.88880,58.10340,16.43550,23.10800,43.38830,8.26810,30.88730,61.82500,17.92970,24.13230,46.55650,9.25570,32.07180,65.63810,19.49930,25.30950,49.85000
LQ,95.10160,46.91390,132.71870,240.50960,46.12320,113.04950,95.83000,47.06530,133.14100,242.95730,46.19700,113.10300,22.54020,42.70500,133.35310,225.81980,46.00550,113.74840,3.38900,21.15240,88.32030,21.89800,26.61860,99.13680,2.28260,18.16800,44.49770,11.31380,17.41960,56.99000,1.73000,16.44020,30.38100,8.05730,13.76230,34.46630,1.41710,15.39720,23.63700,6.41430,11.75370,23.06410,1.22260,14.56680,20.13000,5.58450,10.62420,17.11000,1.08890,13.92950,17.93910,4.97360,9.76670,14.05790,1.01100,13.47210,16.56590,4.62190,9.16650,12.30580,0.88130,13.18360,15.66710,4.31380,8.80630,11.26830,0.86290,12.80150,15.02500,4.16440,8.37300,10.56610,0.78950,12.63240,14.51750,4.01660,8.18980,10.10020,0.79870,12.33930,14.19960,3.95920,7.91010,9.78010,0.79720,12.14590,13.89470,3.89610,7.70480,9.52150,0.76060,11.99680,13.69190,3.82750,7.61980,9.39670,0.73640,11.91960,13.61730,3.75140,7.50040,9.27010,0.73790,12.11660,13.32210,3.78840,7.55880,8.94650,0.77280,14.03210,16.02410,3.97500,8.75490,9.98870,0.99240,15.13540,18.75530,4.32800,9.53920,11.94390,1.22410,16.33000,21.43950,4.77870,10.46940,13.97430,1.50750,17.62310,24.28750,5.38300,11.55510,16.07500,1.84280,18.87550,27.37020,6.01050,12.57870,18.33120,2.18950,20.24010,30.46960,6.77390,13.78040,20.66770,2.62270,21.54080,33.92000,7.58530,14.88160,23.27350,3.11050,22.98720,37.45950,8.49000,16.09090,25.96060,3.63330,24.25990,41.15980,9.48660,17.06790,28.85760,4.19850,25.62780,45.23190,10.47310,18.34230,31.89600,4.86940,26.92750,49.20480,11.67570,19.57070,34.99480,5.59570,28.13100,53.32580,12.85640,20.79850,38.40740,6.33170,29.52170,57.37620,14.22650,22.21330,41.56010,7.19770,30.75070,61.51700,15.64630,23.42540,44.96780,8.03610,31.98210,65.39110,17.15040,24.52400,48.20790
LQ,92.81480,49.39130,136.45720,234.00600,46.56840,116.16860,93.39760,49.65280,137.19700,234.19830,46.67320,115.77780,36.22090,46.74820,138.47060,223.50040,46.68820,116.50530,4.80400,25.24240,103.59850,32.08410,31.38050,104.43680,3.44400,21.42350,54.64640,16.35340,21.87990,66.13650,2.82170,19.63660,38.52540,11.74570,17.82890,43.08880,2.40940,18.40870,30.35680,9.41120,15.55380,30.55860,2.13130,17.40160,25.90000,7.99650,13.99170,23.33370,1.96510,16.74900,23.02240,7.17770,12.98970,19.19850,1.80450,16.09920,21.09910,6.54030,12.12310,16.59650,1.74820,15.62660,19.86620,6.18880,11.58330,15.10960,1.57740,15.21820,18.85300,5.77550,11.15670,13.96670,1.48480,15.01780,18.05170,5.55330,10.78070,13.16190,1.48320,14.71960,17.66500,5.42480,10.48390,12.77460,1.43640,14.48340,17.25860,5.27560,10.24170,12.36460,1.43160,14.32530,16.93580,5.18000,10.04020,12.06250,1.40430,14.20970,16.57900,5.14970,9.86100,11.75570,1.36420,14.29910,16.25010,5.03770,9.82760,11.38550,1.44770,16.40620,19.20350,5.22990,11.23300,12.41660,1.63300,17.88890,22.23980,5.65840,12.27670,14.49790,1.97690,19.20000,25.34800,6.20750,13.33780,16.82940,2.29120,20.57850,28.68370,6.87140,14.56680,19.35340,2.66550,21.99430,31.97280,7.62640,15.77320,21.83030,3.21820,23.32720,35.49450,8.46270,16.90990,24.54650,3.72030,24.78480,39.29790,9.39100,18.28090,27.52080,4.29550,26.11070,43.01430,10.42060,19.50000,30.52620,4.90550,27.57330,47.07030,11.56630,20.82550,33.70080,5.67180,28.72580,51.28610,12.73920,22.11500,37.02720,6.47360,30.22820,55.21920,14.08470,23.40080,40.45420,7.16270,31.39800,59.24850,15.39450,24.62800,43.57690,8.07590,32.68120,63.14360,16.96700,25.77840,46.95850,9.12450,33.71460,67.08050,18.62910,26.93480,50.41450,10.14250,34.68130,71.14390,20.40240,28.05480,53.67690
LQ,111.25520,56.89930,159.38300,263.59460,57.93900,133.14100,112.51680,57.30360,160.45050,265.03700,58.27120,132.85920,43.55170,52.72240,159.19020,255.01060,57.69180,131.74210,5.00350,22.43480,113.15660,36.00310,28.64770,111.15110,3.64300,17.73260,48.92350,17.36280,17.24950,60.12910,2.92510,15.52960,29.40960,12.23010,12.62570,34.89970,2.52530,14.16510,20.98500,9.84530,10.25320,22.14240,2.23080,13.18360,16.75000,8.55830,8.80120,15.57990,1.99210,12.34590,14.26890,7.60330,7.76650,12.14440,1.86950,11.80770,12.84930,7.08070,7.11700,10.33150,1.71180,11.36840,11.93710,6.62180,6.67060,9.24710,1.73660,11.09580,11.33010,6.41900,6.35410,8.61040,1.66410,10.83720,10.87380,6.26590,6.14330,8.13430,1.63460,10.49850,10.44840,6.11210,5.83800,7.74010,1.62800,10.27890,10.15770,5.98060,5.64610,7.51100,1.54480,10.11370,9.94380,5.86400,5.52640,7.29300,1.63130,10.02610,9.82450,5.90740,5.44340,7.22520,1.51240,10.22740,9.48660,5.76420,5.49470,6.90570,1.58390,12.00650,11.48390,5.98060,6.47580,7.55710,1.78960,13.11760,13.75920,6.34110,7.14190,9.00280,1.99380,14.32160,16.00710,6.82990,7.97040,10.55680,2.27740,15.69160,18.51320,7.52890,8.94870,12.29550,2.66550,17.01070,21.27410,8.28960,9.98960,14.29590,3.01100,18.39920,24.07490,9.12730,11.01410,16.31460,3.40420,19.74860,27.26320,10.01580,12.10030,18.50840,3.95920,21.31790,30.90100,11.11640,13.41890,21.16460,4.40140,22.74180,34.38230,12.08300,14.58200,23.64930,4.93520,24.31760,38.22610,13.31850,15.98710,26.38250,5.62030,25.86790,42.23060,14.63520,17.25400,29.31680,6.32700,27.47680,46.35040,16.09630,18.60460,32.37730,7.03860,28.91440,50.73890,17.48130,19.93850,35.54300,7.93590,30.49640,55.28920,19.14880,21.40120,39.02360,8.80950,31.91950,59.75500,20.72110,22.72400,42.25480
