30,0.045123,0.700081,0.524737,0.659212
30,0.045489,0.700191,0.524003,0.659313
30,0.045903,0.700210,0.523785,0.659313
30,0.045782,0.700210,0.523676,0.659124
30,0.045444,0.700210,0.523785,0.659212
30,0.045703,0.700191,0.524003,0.659615
30,0.045168,0.700191,0.524003,0.659313
30,0.044448,0.700245,0.524315,0.659905
30,0.044983,0.700283,0.524424,0.659615
30,0.045199,0.700210,0.523894,0.659703
30,0.044709,0.700210,0.524315,0.659615
30,0.044785,0.700283,0.524737,0.660396
30,0.045229,0.700172,0.524003,0.659905
30,0.045582,0.700264,0.524003,0.659703
30,0.045152,0.700393,0.524954,0.660625
30,0.045199,0.700301,0.524315,0.660006
30,0.044891,0.700374,0.524737,0.660625
30,0.046286,0.700336,0.524098,0.660207
30,0.045689,0.700374,0.524424,0.660668
30,0.044754,0.700318,0.524098,0.659804
30,0.045091,0.700409,0.524424,0.660625
30,0.045521,0.700374,0.524954,0.660106
30,0.045091,0.700355,0.525376,0.660295
30,0.044891,0.700226,0.525172,0.659905
30,0.045550,0.700503,0.525172,0.660668
30,0.045795,0.700245,0.523894,0.659703
30,0.045613,0.700393,0.525593,0.660207
30,0.045842,0.700409,0.524846,0.660717
30,0.045521,0.700428,0.525906,0.661056
30,0.045152,0.700519,0.525702,0.660957
30,0.172189,0.510151,0.310100,0.396243
30,0.170623,0.508400,0.309399,0.394238
30,0.171816,0.510552,0.310333,0.397004
30,0.173525,0.507825,0.309866,0.394903
30,0.172704,0.511527,0.310447,0.396832
30,0.174202,0.510752,0.310293,0.395664
30,0.173305,0.508975,0.309712,0.394903
30,0.170843,0.512303,0.310333,0.397422
30,0.174498,0.512303,0.310487,0.397090
30,0.175319,0.509976,0.310407,0.396918
30,0.171511,0.507825,0.309826,0.394828
30,0.170175,0.510552,0.310641,0.397004
30,0.172332,0.512103,0.310800,0.397004
30,0.175987,0.511727,0.310020,0.394988
30,0.175844,0.506849,0.309866,0.394485
30,0.175395,0.512303,0.310179,0.395492
30,0.173009,0.510952,0.310760,0.396918
30,0.173152,0.513103,0.310914,0.397251
30,0.172933,0.512303,0.310835,0.397754
30,0.176359,0.512703,0.311068,0.397508
30,0.176961,0.512103,0.310800,0.397422
30,0.176808,0.512503,0.311068,0.397508
30,0.175319,0.510952,0.310214,0.394152
30,0.174718,0.513479,0.311028,0.398087
30,0.173152,0.513278,0.311028,0.397840
30,0.174345,0.513103,0.311068,0.397754
30,0.176216,0.513679,0.311187,0.398173
30,0.175395,0.513278,0.310487,0.395750
30,0.172561,0.508000,0.310566,0.395996
30,0.173382,0.513103,0.311147,0.396500
30,0.334847,0.534394,0.416276,0.601744
30,0.336444,0.535369,0.417993,0.602236
30,0.331859,0.534594,0.416401,0.602135
30,0.337469,0.534594,0.416213,0.601933
30,0.333470,0.533418,0.415852,0.601618
30,0.336209,0.534594,0.417867,0.602236
30,0.329808,0.533993,0.416095,0.602034
30,0.329120,0.534994,0.416644,0.602425
30,0.330716,0.534994,0.416276,0.602626
30,0.332328,0.535570,0.416887,0.602828
30,0.331859,0.533993,0.416213,0.601933
30,0.329237,0.535770,0.418173,0.603017
30,0.328314,0.534394,0.416644,0.602425
30,0.326717,0.534794,0.416707,0.602727
30,0.332093,0.535970,0.419099,0.603420
30,0.328549,0.534794,0.416401,0.602525
30,0.327054,0.535770,0.416707,0.602828
30,0.329691,0.536345,0.417562,0.603609
30,0.329691,0.535970,0.417138,0.603319
30,0.332328,0.536545,0.417624,0.603118
30,0.335638,0.535770,0.416770,0.603118
30,0.330599,0.535570,0.417319,0.603118
30,0.335301,0.536946,0.416887,0.602525
30,0.330145,0.535770,0.416950,0.602828
30,0.323846,0.535169,0.417256,0.602828
30,0.327508,0.535970,0.417013,0.603508
30,0.327406,0.537121,0.417319,0.603319
30,0.333236,0.535169,0.416832,0.602626
30,0.326263,0.535369,0.416887,0.603118
30,0.327172,0.535970,0.417013,0.602929
