LQ,0.206242,0.237359,0.277864,0.161099,0.195787,0.260169
LQ,0.317089,0.271833,0.220012,0.275687,0.286549,0.245073
LQ,0.256088,0.345325,0.364380,0.309994,0.387117,0.374479
LQ,0.203280,0.035800,0.066283,0.105210,0.040137,0.078984
LQ,0.129389,0.195078,0.218365,0.067061,0.259420,0.234586
LQ,0.077944,0.085180,0.061066,0.067130,0.069607,0.064622
LQ,0.341442,0.286974,0.344428,0.337903,0.298132,0.369786
LQ,0.169240,0.242460,0.297586,0.153781,0.258716,0.286654
LQ,0.448970,0.426341,0.455842,0.373812,0.447989,0.460888
LQ,0.369325,0.117881,0.088186,0.408920,0.069607,0.082952
LQ,0.276286,0.294921,0.356207,0.252718,0.282238,0.334232
LQ,0.367428,0.248095,0.181218,0.306882,0.180251,0.195726
LQ,0.401291,0.451443,0.485824,0.397638,0.452023,0.498370
LQ,0.314280,0.320857,0.262463,0.292759,0.270070,0.283355
LQ,0.595156,0.469247,0.489205,0.509758,0.461073,0.504587
LQ,0.373119,0.358934,0.290273,0.337193,0.283672,0.267303
LQ,0.386929,0.420070,0.460766,0.325994,0.423098,0.457067
LQ,0.232840,0.267683,0.301435,0.235681,0.308332,0.302638
LQ,0.065421,0.159161,0.215734,0.059407,0.201548,0.212660
LQ,0.359382,0.353713,0.301435,0.353426,0.309061,0.316802
LQ,0.412338,0.401096,0.366621,0.412825,0.389181,0.367574
LQ,0.296147,0.241442,0.188532,0.370865,0.180513,0.168250
LQ,0.374560,0.337381,0.232289,0.368377,0.221727,0.209561
LQ,0.004129,0.012500,0.014649,0.025291,0.009719,0.015951
LQ,0.081583,0.090705,0.067889,0.062032,0.075790,0.073730
LQ,0.161306,0.261989,0.277520,0.186480,0.281873,0.273828
LQ,0.230127,0.322419,0.360285,0.774743,0.313465,0.362431
LQ,0.058572,0.078240,0.181218,0.053947,0.078188,0.135685
LQ,0.042162,0.082857,0.078231,0.053154,0.094908,0.088654
LQ,0.143426,0.230748,0.250488,0.776337,0.193801,0.257909
LQ,0.048152,0.169905,0.235969,0.053418,0.196796,0.216391
LQ,0.503671,0.420310,0.395048,0.413966,0.416207,0.440871
LQ,0.010270,0.026738,0.042695,0.651104,0.017049,0.033866
LQ,0.115827,0.132042,0.133316,0.108927,0.179459,0.159635
LQ,0.180541,0.053688,0.102881,0.107378,0.125125,0.155627
LQ,0.302175,0.316950,0.294098,0.237347,0.360723,0.301633
LQ,0.108029,0.040784,0.066138,0.060012,0.065990,0.063513
LQ,0.132283,0.068200,0.093704,0.064675,0.097844,0.098254
LQ,0.206242,0.050068,0.050661,0.157918,0.042990,0.037952
LQ,0.169240,0.300686,0.294098,0.189067,0.347994,0.299961
LQ,0.359382,0.367008,0.301435,0.387299,0.337140,0.304653
LQ,0.176766,0.130525,0.159284,0.101819,0.182361,0.159930
LQ,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
LQ,0.332988,0.347318,0.351772,0.280453,0.358283,0.363165
LQ,0.168810,0.154790,0.178367,0.100887,0.229670,0.183262
LQ,0.070259,0.167953,0.251850,0.056669,0.179190,0.229222
LQ,0.200319,0.042924,0.027826,0.198821,0.033422,0.022499
LQ,0.228348,0.173835,0.178683,0.168138,0.188198,0.167357
LQ,0.185989,0.158677,0.158046,0.128855,0.188729,0.175133
LQ,0.159226,0.283834,0.353619,0.102425,0.283672,0.318842
LQ,0.479690,0.442489,0.409752,0.422665,0.396096,0.408579
LQ,0.018844,0.094210,0.140273,0.038966,0.126885,0.137311
LQ,0.255176,0.309180,0.366995,0.756426,0.326729,0.369048
LQ,0.397928,0.374322,0.388156,0.340362,0.406798,0.415825
LQ,0.251981,0.104504,0.099128,0.311031,0.091254,0.097096
LQ,0.143426,0.068772,0.051085,0.089828,0.052243,0.049261
LQ,0.063816,0.024376,0.054910,0.055472,0.021380,0.050529
LQ,0.355588,0.289070,0.154648,0.428624,0.186338,0.139962
LQ,0.369805,0.405797,0.439254,0.352016,0.414792,0.433415
LQ,0.220685,0.223653,0.157117,0.239678,0.190066,0.158546
LQ,0.284115,0.081415,0.066430,0.200779,0.069483,0.079549
LQ,0.520344,0.442489,0.424662,0.438483,0.429072,0.449740
LQ,0.323622,0.386593,0.405863,0.373191,0.397021,0.398841
LQ,0.387889,0.053798,0.045893,0.347063,0.065123,0.042957
LQ,0.337695,0.333819,0.348095,0.301697,0.372584,0.390222
LQ,0.502611,0.414567,0.393131,0.414294,0.403293,0.418429
LQ,0.366467,0.336986,0.242022,0.421509,0.264385,0.229854
LQ,0.439885,0.387006,0.347360,0.383197,0.389641,0.368558
LQ,0.053374,0.128105,0.093241,0.059542,0.105220,0.110728
LQ,0.286901,0.354515,0.397357,0.208948,0.394012,0.404978
LQ,0.283203,0.129617,0.219682,0.287969,0.152601,0.282693
LQ,0.036579,0.066207,0.058337,0.055802,0.064006,0.061669
LQ,0.226223,0.315006,0.337499,0.155692,0.356288,0.355868
LQ,0.226653,0.271833,0.310952,0.234352,0.234880,0.285992
LQ,0.209632,0.172850,0.141487,0.161740,0.210060,0.160523
LQ,0.225794,0.204057,0.183119,0.203716,0.149773,0.164675
LQ,0.193584,0.234813,0.243033,0.135136,0.246395,0.244431
LQ,0.203710,0.235832,0.189811,0.203063,0.234184,0.211733
LQ,0.507626,0.399926,0.336407,0.453918,0.339372,0.364142
LQ,0.296147,0.296841,0.279923,0.231031,0.351437,0.290964
LQ,0.286901,0.251685,0.224971,0.237009,0.255890,0.255972
LQ,0.212186,0.047348,0.053915,0.250375,0.057115,0.054893
LQ,0.347086,0.309180,0.231289,0.272633,0.268296,0.244112
LQ,0.237379,0.360545,0.377901,0.253732,0.391250,0.389214
LQ,0.234209,0.155274,0.118959,0.181633,0.123123,0.137109
LQ,0.508241,0.435350,0.421113,0.426136,0.416207,0.448391
LQ,0.105181,0.178749,0.200097,0.068021,0.229330,0.226707
LQ,0.213023,0.141180,0.098972,0.262145,0.100296,0.114072
LQ,0.459340,0.461314,0.517599,0.394444,0.463770,0.514125
LQ,0.321292,0.400864,0.421898,0.388248,0.430513,0.415825
LQ,0.115420,0.064214,0.095093,0.099034,0.117621,0.115653
LQ,0.192318,0.144242,0.243710,0.147115,0.134718,0.217950
LQ,0.276742,0.273395,0.232960,0.247695,0.271852,0.264381
LQ,0.147156,0.286974,0.339683,0.110477,0.331557,0.351520
LQ,0.016112,0.076225,0.091706,0.041199,0.129660,0.108960
LQ,0.455582,0.438298,0.494200,0.399242,0.441199,0.485840
LQ,0.174257,0.314228,0.391213,0.133563,0.312727,0.382689
LQ,0.354171,0.404148,0.441326,0.366233,0.438763,0.457882
LQ,0.395070,0.406502,0.465732,0.376930,0.421430,0.471620
LQ,0.368364,0.193592,0.105873,0.269580,0.135981,0.136295
LQ,0.015857,0.009667,0.032955,0.029486,0.007173,0.021613
LQ,0.184746,0.128105,0.249130,0.134507,0.143874,0.213905
LQ,0.414740,0.454199,0.499238,0.351654,0.455377,0.497821
LQ,0.177173,0.144545,0.203983,0.145228,0.163215,0.215146
LQ,0.344276,0.202555,0.149731,0.338253,0.152856,0.150027
LQ,0.232840,0.198065,0.128206,0.256086,0.164773,0.127811
LQ,0.212186,0.108646,0.136332,0.129484,0.069607,0.139553
LQ,0.142613,0.264577,0.300734,0.097193,0.295230,0.295617
LQ,0.149235,0.093038,0.084240,0.112027,0.068108,0.074478
LQ,0.325495,0.356922,0.333145,0.282154,0.353422,0.352967
LQ,0.122812,0.153814,0.128206,0.093195,0.158539,0.138329
LQ,0.139719,0.017224,0.014259,0.105828,0.010840,0.018476
LQ,0.360799,0.192099,0.133316,0.277388,0.147462,0.158757
LQ,0.232840,0.273913,0.284739,0.155051,0.295586,0.294955
LQ,0.179275,0.252195,0.277864,0.136080,0.280083,0.269259
LQ,0.135153,0.125691,0.169250,0.130743,0.095889,0.164675
LQ,0.183887,0.294156,0.311306,0.122911,0.341621,0.331138
LQ,0.491755,0.361354,0.319128,0.428624,0.343488,0.352967
LQ,0.270306,0.281220,0.223314,0.231369,0.291607,0.239974
LQ,0.296147,0.248605,0.201067,0.260456,0.177611,0.179943
LQ,0.296147,0.362564,0.379414,0.361245,0.398180,0.382939
LQ,0.113363,0.085466,0.124317,0.101504,0.131171,0.140166
LQ,0.222380,0.242460,0.278548,0.171343,0.278293,0.282364
LQ,0.475996,0.443478,0.426373,0.436636,0.397249,0.420779
LQ,0.398889,0.350108,0.254921,0.376148,0.240803,0.228594
LQ,0.022421,0.011387,0.019049,0.042931,0.021726,0.023489
LQ,0.267544,0.357330,0.436365,0.226731,0.357174,0.387703
LQ,0.479097,0.222643,0.178054,0.398279,0.224485,0.237121
LQ,0.210920,0.178256,0.167998,0.169734,0.219317,0.188111
LQ,0.256544,0.028492,0.017801,0.221440,0.011402,0.018562
LQ,0.111307,0.171866,0.225301,0.067405,0.220692,0.224510
LQ,0.108865,0.005486,0.004569,0.115127,0.004375,0.008763
LQ,0.398409,0.368631,0.298985,0.307220,0.308697,0.315444
LQ,0.157124,0.141791,0.167685,0.089828,0.176294,0.158757
LQ,0.277679,0.311506,0.358428,0.256086,0.352982,0.363655
LQ,0.208366,0.122380,0.089713,0.148700,0.096131,0.108762
LQ,0.034183,0.082279,0.176159,0.048040,0.080358,0.136905
LQ,0.544476,0.471780,0.496485,0.499956,0.458488,0.499032
LQ,0.271218,0.046480,0.044918,0.259780,0.056503,0.062407
LQ,0.285508,0.304927,0.282326,0.251040,0.318973,0.293955
LQ,0.234209,0.261989,0.248789,0.212887,0.301399,0.286654
Ea,0.549206,0.595086,0.603536,0.505434,0.587699,0.627063
Ea,0.544849,0.573129,0.561641,0.498876,0.572344,0.598618
Ea,0.889530,0.711141,0.725071,0.650864,0.730908,0.748691
Ea,0.519234,0.581893,0.582016,0.463379,0.569825,0.607071
Ea,0.959087,0.969171,0.964436,0.936654,0.956540,0.969473
Ea,0.808342,0.688316,0.717376,0.801263,0.711706,0.739438
Ea,0.233297,0.483753,0.499468,0.189720,0.496657,0.486689
Ea,0.856248,0.738979,0.741665,0.855402,0.746419,0.762969
Ea,0.947763,0.932307,0.948452,0.919231,0.918416,0.960517
Ea,0.472612,0.540310,0.543670,0.408436,0.532301,0.554626
Ea,0.193154,0.476690,0.477791,0.162381,0.488745,0.465000
Ea,0.915336,0.837077,0.806419,0.798876,0.821010,0.833170
Ea,0.679352,0.633376,0.629753,0.544982,0.645215,0.669884
Ea,0.490709,0.542432,0.533576,0.439997,0.540341,0.554288
Ea,0.523684,0.547240,0.557862,0.462864,0.540341,0.579846
Ea,0.634688,0.577077,0.581290,0.522810,0.585850,0.637491
Ea,0.820787,0.609920,0.664729,0.826959,0.635246,0.696764
Ea,0.901933,0.785445,0.764077,0.785800,0.791380,0.798793
Ea,0.831242,0.670437,0.703660,0.597943,0.701184,0.733872
Ea,0.260675,0.422716,0.376391,0.179057,0.441897,0.372748
Ea,0.207937,0.486638,0.498548,0.190046,0.499449,0.495740
Ea,0.803539,0.653998,0.696519,0.794306,0.687690,0.722704
Ea,0.908384,0.581893,0.639551,0.826005,0.593288,0.665811
Ea,0.736873,0.593582,0.602197,0.558787,0.607312,0.657308
Ea,0.504582,0.563243,0.569487,0.448121,0.551289,0.591347
Ea,0.839594,0.643347,0.694807,0.835422,0.679478,0.729585
Ea,0.976883,0.943810,0.960022,0.972972,0.921822,0.963625
Ea,0.375977,0.529540,0.533489,0.370709,0.527484,0.545634
Ea,0.483992,0.549391,0.534888,0.438988,0.544006,0.551266
Ea,0.790885,0.655079,0.677278,0.564896,0.691129,0.713901
Ea,0.659260,0.609258,0.604880,0.538767,0.612905,0.646039
Ea,0.954902,0.959589,0.952758,0.934632,0.939028,0.961624
Ea,0.593744,0.619055,0.641487,0.534172,0.612202,0.658420
Ea,0.608263,0.609258,0.608256,0.520100,0.608938,0.649916
Ea,0.940320,0.942453,0.936195,0.913763,0.919694,0.950641
Ea,0.648022,0.605736,0.607128,0.529711,0.615247,0.653516
Ea,0.842734,0.716894,0.736550,0.853118,0.733787,0.757973
Ea,0.874946,0.790602,0.770207,0.888228,0.780543,0.786383
Ea,1.000000,0.933655,0.964066,1.000000,0.932541,0.967663
Ea,0.910746,0.754295,0.760100,0.814835,0.774758,0.789971
Ea,0.480728,0.481892,0.511839,0.398919,0.493228,0.502354
Ea,0.925421,0.817304,0.808925,0.874628,0.819671,0.844683
Ea,0.696285,0.634299,0.632123,0.549463,0.633800,0.672932
Ea,0.412818,0.533652,0.540851,0.385876,0.531554,0.560761
Ea,0.823969,0.716317,0.731549,0.823528,0.729711,0.752962
Ea,0.229214,0.460742,0.446331,0.141429,0.468853,0.428918
Ea,0.944288,0.932981,0.933315,0.911909,0.911335,0.946561
Ea,0.903774,0.657407,0.711157,0.777047,0.709491,0.744925
Ea,0.225364,0.483753,0.496942,0.193612,0.495077,0.488823
Ea,0.899291,0.799290,0.769708,0.730960,0.781664,0.786637
Ea,0.510989,0.572507,0.553608,0.461482,0.569285,0.588762
Ea,0.323166,0.484430,0.510496,0.289332,0.497029,0.499583
Ea,0.828643,0.724408,0.735089,0.841741,0.735717,0.755517
Ea,0.977038,0.965126,0.979960,0.990965,0.951253,0.985909
Ea,0.946269,0.933655,0.946314,0.927505,0.922248,0.958242
Ea,0.791602,0.642897,0.668348,0.563486,0.674530,0.713170
Ea,0.679716,0.625830,0.633075,0.536825,0.654401,0.679255
Ea,0.545417,0.519101,0.524578,0.471377,0.522834,0.549489
Ea,0.918173,0.812846,0.794885,0.842919,0.814118,0.832440
Ea,0.432127,0.517004,0.532274,0.373655,0.518167,0.539671
Ea,0.925574,0.834334,0.820926,0.879276,0.834368,0.858634
Ea,0.307771,0.497661,0.513737,0.256412,0.503911,0.503916
Ea,0.917235,0.744848,0.761288,0.833490,0.783234,0.793066
Ea,0.960601,0.937030,0.953841,0.947971,0.921397,0.960076
Ea,0.855556,0.755479,0.754807,0.866982,0.759800,0.770109
HQ,0.826549,0.946123,0.918343,0.815023,0.909478,0.937217
HQ,0.730720,0.862266,0.867765,0.717060,0.861603,0.890896
HQ,0.539009,0.848781,0.829048,0.629479,0.825052,0.843176
HQ,0.708905,0.914220,0.851918,0.629623,0.869609,0.899905
HQ,0.580356,0.759042,0.776998,0.629910,0.753819,0.807235
HQ,0.757102,0.958585,0.917147,0.849651,0.902625,0.930588
HQ,0.590935,0.882617,0.864551,0.713997,0.854683,0.874409
HQ,0.868539,0.949100,0.938675,0.868917,0.939028,0.947916
HQ,0.622508,0.807055,0.806419,0.663843,0.797336,0.839064
HQ,0.654552,0.980884,0.939089,0.762650,0.917568,0.936339
HQ,0.706673,0.853455,0.817827,0.644591,0.838737,0.850330
HQ,0.519056,0.791932,0.774722,0.578333,0.770785,0.785616
HQ,0.717471,0.872884,0.861360,0.697070,0.849303,0.884643
HQ,0.530575,0.641700,0.684693,0.567413,0.663987,0.723334
HQ,0.746028,0.709433,0.770706,0.728884,0.735476,0.777771
HQ,0.548452,0.888488,0.872804,0.659016,0.849303,0.869692
HQ,0.697029,0.878068,0.892279,0.752181,0.873906,0.907186
HQ,0.580162,0.706943,0.759310,0.627760,0.731866,0.790229
HQ,0.730491,0.820060,0.833039,0.667480,0.822579,0.860216
HQ,0.695921,0.966137,0.904943,0.703102,0.907625,0.914006
HQ,0.650193,0.927594,0.873802,0.643414,0.877971,0.882835
HQ,0.648022,0.628336,0.684069,0.684629,0.639607,0.707864
HQ,0.899223,0.967651,0.983227,0.895123,0.972120,0.984762
HQ,0.783548,0.770380,0.796478,0.819356,0.753819,0.782566
HQ,0.796606,0.876768,0.885239,0.773151,0.889915,0.909956
HQ,0.524616,0.778798,0.766689,0.583600,0.761806,0.787149
HQ,0.645850,0.763803,0.773714,0.608907,0.751590,0.805907
HQ,0.800426,0.877420,0.899725,0.811277,0.879232,0.917394
HQ,0.880598,1.000000,1.000000,0.889465,1.000000,1.000000
HQ,0.724943,0.752516,0.788836,0.728111,0.775645,0.832622
HQ,0.582696,0.798954,0.803680,0.610850,0.790926,0.828634
HQ,0.638651,0.963612,0.903001,0.682406,0.902888,0.912591
HQ,0.638651,0.805021,0.818857,0.669667,0.795957,0.842988
HQ,0.834846,0.972723,0.952037,0.840307,0.977535,0.962290
HQ,0.643329,0.836771,0.836908,0.666022,0.824826,0.858634
HQ,0.647308,0.746027,0.761685,0.662634,0.761054,0.782058
HQ,0.871785,0.944488,0.934137,0.875891,0.927380,0.950869
HQ,0.683027,0.954081,0.887310,0.677241,0.895848,0.912238
HQ,0.651287,0.794934,0.804674,0.692576,0.796186,0.835369
HQ,0.723454,0.918885,0.864551,0.680437,0.872893,0.887499
HQ,0.598346,0.898332,0.888090,0.740334,0.870617,0.897503
HQ,0.692230,0.832513,0.839628,0.727079,0.813897,0.860039
HQ,0.609326,0.863533,0.860407,0.660941,0.851498,0.870964
HQ,0.784494,0.868949,0.877069,0.780783,0.858627,0.886978
HQ,0.604360,0.931633,0.865834,0.634232,0.882771,0.877710
HQ,0.736873,0.992726,0.919942,0.745317,0.935996,0.932655
HQ,0.836715,0.645907,0.731549,0.844493,0.678484,0.744818
HQ,0.786147,0.826294,0.851296,0.742428,0.827990,0.866622
HQ,0.565260,0.907578,0.868087,0.619949,0.874414,0.876437
HQ,0.822743,0.943131,0.937433,0.827150,0.964969,0.950185
HQ,0.595506,0.768582,0.771956,0.633654,0.770127,0.804847
AQ,0.747176,0.770981,0.603761,0.738503,0.559860,0.562602
AQ,0.714479,0.692497,0.651603,0.692074,0.657642,0.638701
AQ,0.881322,0.599843,0.460121,0.868087,0.410317,0.284674
AQ,0.608263,0.589303,0.570045,0.573191,0.535681,0.584774
AQ,0.631453,0.563982,0.562458,0.525773,0.573245,0.611442
AQ,0.681189,0.620853,0.582744,0.546801,0.604763,0.626183
AQ,0.624649,0.756666,0.673688,0.597264,0.696309,0.671519
AQ,0.629661,0.531959,0.462272,0.613074,0.481556,0.355141
AQ,0.810748,0.465645,0.257315,0.619805,0.214167,0.058366
AQ,0.873926,0.741909,0.662773,0.849251,0.654971,0.658420
AQ,0.742814,0.834030,0.715410,0.628045,0.716922,0.710504
AQ,0.566023,0.514577,0.484254,0.515425,0.507324,0.488075
AQ,0.865619,0.676581,0.589520,0.767705,0.560744,0.583218
AQ,0.650193,0.669414,0.615082,0.643121,0.618778,0.600089
AQ,0.738011,0.898988,0.780820,0.733551,0.820339,0.758945
AQ,0.653458,0.699513,0.677074,0.620372,0.702485,0.680948
AQ,0.580356,0.488858,0.453290,0.543830,0.481112,0.367327
AQ,0.762915,0.851893,0.761883,0.709419,0.760051,0.757423
AQ,0.710394,0.633608,0.620617,0.639170,0.598320,0.619397
AQ,0.549782,0.596380,0.566020,0.571281,0.588998,0.567014
AQ,0.702588,0.800297,0.711157,0.674792,0.702340,0.686210
AQ,0.838464,0.672139,0.641245,0.794124,0.614309,0.622188
AQ,0.932357,0.773380,0.673520,0.899398,0.623987,0.613112
AQ,0.929866,0.697753,0.628335,0.897563,0.560390,0.561105
AQ,0.545044,0.567566,0.536473,0.501016,0.555997,0.560303
AQ,0.813620,0.674186,0.589669,0.721412,0.589929,0.583784
AQ,0.511596,0.515499,0.518649,0.447101,0.521120,0.534133
AQ,0.738691,0.735467,0.696090,0.659976,0.687285,0.689188
AQ,0.559310,0.550831,0.528472,0.503294,0.545075,0.549599
AQ,0.793741,0.684847,0.653646,0.791036,0.611267,0.638247
AQ,0.578407,0.483583,0.349932,0.594020,0.386201,0.187503
AQ,0.418102,0.551734,0.493061,0.516644,0.496471,0.382188
AQ,0.731170,0.683463,0.656977,0.619664,0.669820,0.674589
AQ,0.741436,0.797947,0.650820,0.709672,0.610802,0.612048
AQ,0.482212,0.522741,0.496713,0.410383,0.520133,0.498370
AQ,0.889958,0.546345,0.334958,0.854460,0.342741,0.142412
AQ,0.558547,0.756070,0.660990,0.569278,0.702485,0.653358
AQ,0.849066,0.780005,0.726480,0.858101,0.681868,0.720696
AQ,0.523497,0.476354,0.475138,0.464075,0.487203,0.486371
AQ,0.743043,0.744848,0.697377,0.703351,0.694177,0.679497
AQ,0.471878,0.502383,0.448221,0.401972,0.503572,0.452719
AQ,0.865619,0.693198,0.628807,0.791218,0.640821,0.618318
AQ,0.746257,0.707299,0.681999,0.698577,0.687690,0.681798
